item,itemLabel,startDate,endDate,psid
Q106812725,Светлан Стоев,2021-05-12,2021-12-13,Q106812725-28B3471F-29DC-4EE8-A9E4-A98D4FBBFA6B
Q110089977,Теодора Генчовска,2021-12-13,,Q110089977-81149265-8E5C-491B-9AF0-EE6B392A3419
Q1225846,Димитър Станчов,,,Q1225846-691309C7-53F3-4E04-B7B0-145053C6AC99
Q12275398,Владимир Башев,,,Q12275398-4fc8c1e3-a289-450d-ab20-083ac3546dfb
Q12277630,Даниел Митов,2014-08-06,2017-01-27,Q12277630-DE8BF405-231E-4D85-9180-8FD622081EE0
Q12279576,Екатерина Захариева,2017-05-04,2021-05-12,Q12279576-8ee12bf9-01dc-4926-b947-4439f72368d2
Q12281140,Иван Попов (дипломат),,,Q12281140-b170b98e-1d83-4da7-86da-17329154805f
Q12281663,Илия Цанов,,,Q12281663-7b41aa2c-cbcc-4bbe-8d8d-25ddde0b20cc
Q12283515,Константин Батолов,,,Q12283515-d014f41b-fc40-4cc7-9f5d-9427a64d4d31
Q12286181,Марко Балабанов,,,Q12286181-0332cc69-c221-41d9-8982-acd432eb661e
Q12287095,Михаил Маджаров,,,Q12287095-1923c4e0-eef1-4873-83cc-733fd872a23b
Q12288569,Никола Стойчев (политик),,,Q12288569-5f2c56e6-179d-44b3-9fa9-a70f9ccc6881
Q12291818,Първан Драганов,,,Q12291818-00337872-3b0d-4a88-b590-abcb18ed87cc
Q12291935,Ради Найденов,2017-01-27,2017-05-04,Q12291935-89B4E02F-76C6-4D96-A33F-F5F9C2D1D6DF
Q12292843,Сава Киров,,,Q12292843-c3f614ed-e5f2-4d01-b355-a62a03491aa5
Q12298469,Христо Стоянов,,,Q12298469-e30d9f67-305e-44ab-aa00-4c6fa24f5905
Q1281454,Ивайло Калфин,2005-08-17,2009-07-27,Q1281454-99788281-E71B-4B35-8FC8-A1A1EA5BC835
Q1337846,Никола Мушанов,,,Q1337846-547cac89-47a2-e2e6-18a4-722232f32702
Q1371792,Соломон Паси,,,Q1371792-728aad90-41f0-d073-fc2f-eeed4544205b
Q1376655,Тодор Иванчов,,,Q1376655-53c605ce-b4d5-4c78-9389-770e3f963833
Q1509254,Георги Пирински,,,Q1509254-eef44b57-4381-d74c-0d30-89fe89eb469d
Q1969393,Карло Луканов,,,Q1969393-e0efffc9-4fcd-fbe6-da5d-7bcf6537689a
Q1990579,Никола Генадиев,,,Q1990579-7483db08-1c2c-4f40-be77-9a2d29b867f4
