item,itemLabel,startDate,endDate,psid
Q11699668,Георги Петканов,2001-07-24,2005-08-16,Q11699668-19904CE9-048E-4DAE-8D9C-FE49ADF574E1
Q11778487,Михаил Миков,2008-04-24,2009-07-27,Q11778487-AA2FE4D6-8288-4E80-A60D-4E4CEB23D3C5
Q11792153,Николай Добрев,1996-05-10,1997-02-12,Q11792153-12182095-0308-4DB3-87B7-A5ECBB240628
Q12271511,Александър Людсканов,1911-07-11,1913-06-01,Q12271511-0d1a565b-44f6-af7f-b19b-4c0f82033fc5
Q12271511,Александър Людсканов,1903-05-06,1907-02-26,Q12271511-24025146-48cb-89cb-3b17-e496a07e8a23
Q12275264,Виктор Михайлов,1992-12-30,1994-10-17,Q12275264-F3CCB69C-EBC4-45FB-AF61-569BBB10220B
Q12276739,Георги Танев,1988-12-15,1990-01-02,Q12276739-1dd6b5f3-4a93-854f-5d68-4522e5d1541a
Q12279784,Емануил Йорданов,1999-12-21,2001-07-24,Q12279784-D0BA5A0A-EEF4-40FE-A9B5-1C0AAF358410
Q12282118,Йордан Бакалов,2014-08-06,2014-11-07,Q12282118-0A168001-EB82-4FC6-9B2E-EF01A31526D7
Q12285427,Любомир Начев,1995-01-25,1996-05-10,Q12285427-03356F95-5119-44D2-A5EF-C78C9230C438
Q12287154,Михаил Такев,1910-09-05,1911-03-16,Q12287154-5969BB07-3405-4FD3-A4E2-208F4EAE1798
Q12287154,Михаил Такев,1918-06-21,1918-11-28,Q12287154-6E29EDD4-E3BE-4224-B764-040D06C50349
Q12298809,Цветлин Йовчев,2013-05-29,2014-08-06,Q12298809-977F0554-8DF3-4CEE-AE4F-0C121F026209
Q12298971,Чавдар Червенков,1994-10-17,1995-01-25,Q12298971-4D2AA9BE-F7A1-465B-9A68-D59496D1305A
Q17409260,Веселин Вучков,2014-11-07,2015-03-11,Q17409260-94786587-35B9-4028-8D3D-B4996778D8B1
Q17409484,Валентин Радев,2017-05-04,2018-09-20,Q17409484-01A4F018-D880-4135-AADB-07E5FAD780CA
Q18535066,Румяна Бъчварова,2015-03-11,2017-01-27,Q18535066-607513FF-5E99-43A7-92DE-38EDF4A33E94
Q244471,Цветан Цветанов,2009-07-27,2013-03-13,Q244471-F9E300E9-1C4A-420E-A889-5B79ED2EBBCD
Q2648858,Александър Оббов,1923-02-09,1923-03-12,Q2648858-58D83ED4-D6E4-43F7-B9AD-220F8CF4E2EE
Q28599818,Бойко Рашков,2021-05-12,,Q28599818-2DE223F2-25E2-497B-89E9-69E0197853FD
Q29918858,Младен Маринов,2018-09-20,2020-07-24,Q29918858-FCBF961E-C82A-4058-BB7A-2BE7F9EDB4A0
Q30237387,Пламен Узунов,2017-01-27,2017-05-04,Q30237387-456CF50F-016E-47BB-9F74-FD48FAB3529D
Q3658170,Григор Начович,,,Q3658170-b344d800-418f-e4da-de1d-eb2fb77b1448
Q438829,Георги Странски,1887-06-29,1887-08-20,Q438829-fb61f694-453b-248e-cdcb-5edea8e9b0db
Q4427187,Йордан Соколов,1991-11-08,1992-12-30,Q4427187-E5DED3F7-E423-4369-A278-DF3C3583AEB7
Q447831,Андрей Ляпчев,1926-01-04,1931-06-29,Q447831-cfad6aae-4bbb-f45a-a888-420c7d883ab8
Q454661,Васил Радославов,1916-09-07,1918-06-21,Q454661-556646d2-4636-2787-2cb0-05e34e8a419f
Q454661,Васил Радославов,1887-06-28,1887-08-20,Q454661-6ecafb0f-41f7-cc1b-c08c-a8e4cf6dfdfb
Q454661,Васил Радославов,1913-07-04,1915-09-21,Q454661-7768fb4d-48fd-73db-cc70-468b4ee4265b
Q454661,Васил Радославов,1900-11-27,1901-02-20,Q454661-d6fdb2a5-4bf2-9725-00a3-316b5432263b
Q4937696,Богомил Бонев,1997-02-12,1999-12-21,Q4937696-7DBCA760-A52C-4EEB-91D4-ADF4581D4323
Q521116,Драган Цанков,1884-06-30,1885-01-31,Q521116-4002CBB0-2C37-4328-BEB4-20AF8E7C2CCC
Q521116,Драган Цанков,1886-08-12,1887-06-28,Q521116-8AE01F5C-B1F7-4F34-A65B-B037D5A9632E
Q521116,Драган Цанков,1880-11-28,1880-12-17,Q521116-D88A17FE-E0A8-47FC-A3BD-338828ECCF4D
Q523488,Константин Стоилов,1896-11-01,1899-01-18,Q523488-3b49396b-45a9-bc0e-e61e-423c0b3eb23c
Q59651787,Христо Терзийски,2020-07-24,2021-05-12,Q59651787-DADD28E2-53EC-4422-9AB1-E8AE9C5C979A
Q7179447,Петя Първанова,2013-03-13,2013-05-29,Q7179447-E685626E-7C21-4252-8169-A81C561D68A3
Q9191111,Христо Данов (юрист),1990-12-20,1991-11-08,Q9191111-326AD89C-0AC5-44A7-9435-05B418775405
Q9323969,Румен Петков,2005-08-16,2008-04-24,Q9323969-CF3B4F8C-FC17-42D5-BC8E-B2C9798F8606
Q956477,Димитър Греков,,,Q956477-0C4EF6EB-9C18-47E5-A76C-0EA698A53390
